zone,start_date,duration_days,min_temperature,type,max_temperature,year,date,next_date,temp_from,temp_to,change
Etelä-Suomi,2022-01-08,1.0,-25.0,Äärimmäinen kylmyys,,,,,,,
Etelä-Suomi,2022-01-11,1.0,-30.3,Äärimmäinen kylmyys,,,,,,,
Etelä-Suomi,2022-02-03,1.0,-26.4,Äärimmäinen kylmyys,,,,,,,
Etelä-Suomi,2023-02-22,2.0,-29.0,Äärimmäinen kylmyys,,,,,,,
Etelä-Suomi,2023-03-07,2.0,-26.4,Äärimmäinen kylmyys,,,,,,,
Etelä-Suomi,2023-03-10,2.0,-30.5,Äärimmäinen kylmyys,,,,,,,
Etelä-Suomi,2023-12-05,1.0,-25.7,Äärimmäinen kylmyys,,,,,,,
Etelä-Suomi,2024-01-01,8.0,-34.2,Äärimmäinen kylmyys,,,,,,,
Etelä-Suomi,2024-01-13,1.0,-27.5,Äärimmäinen kylmyys,,,,,,,
Etelä-Suomi,2024-01-16,3.0,-30.7,Äärimmäinen kylmyys,,,,,,,
Etelä-Suomi,2024-01-20,2.0,-31.5,Äärimmäinen kylmyys,,,,,,,
Etelä-Suomi,2024-02-08,4.0,-32.9,Äärimmäinen kylmyys,,,,,,,
Etelä-Suomi,2024-12-18,1.0,-28.6,Äärimmäinen kylmyys,,,,,,,
Etelä-Suomi,2025-01-06,1.0,-26.5,Äärimmäinen kylmyys,,,,,,,
Etelä-Suomi,2024-01-01,7.0,-18.34246575342466,Ankara pakkasjakso,,,,,,,
Etelä-Suomi,2022-06-24,12.0,,Hellejakso,32.9,,,,,,
Etelä-Suomi,2022-07-11,3.0,,Hellejakso,28.0,,,,,,
Etelä-Suomi,2022-07-20,4.0,,Hellejakso,30.9,,,,,,
Etelä-Suomi,2022-07-31,3.0,,Hellejakso,25.4,,,,,,
Etelä-Suomi,2022-08-04,3.0,,Hellejakso,29.4,,,,,,
Etelä-Suomi,2022-08-11,11.0,,Hellejakso,31.7,,,,,,
Etelä-Suomi,2023-06-13,12.0,,Hellejakso,31.3,,,,,,
Etelä-Suomi,2023-06-26,6.0,,Hellejakso,29.0,,,,,,
Etelä-Suomi,2023-07-11,7.0,,Hellejakso,26.7,,,,,,
Etelä-Suomi,2023-08-06,3.0,,Hellejakso,33.6,,,,,,
Etelä-Suomi,2023-08-13,5.0,,Hellejakso,27.2,,,,,,
Etelä-Suomi,2024-05-15,5.0,,Hellejakso,27.6,,,,,,
Etelä-Suomi,2024-05-23,14.0,,Hellejakso,30.1,,,,,,
Etelä-Suomi,2024-06-23,7.0,,Hellejakso,31.4,,,,,,
Etelä-Suomi,2024-07-10,4.0,,Hellejakso,27.2,,,,,,
Etelä-Suomi,2024-07-21,10.0,,Hellejakso,30.4,,,,,,
Etelä-Suomi,2024-08-06,4.0,,Hellejakso,25.6,,,,,,
Etelä-Suomi,2024-08-13,3.0,,Hellejakso,26.3,,,,,,
Etelä-Suomi,2024-09-03,8.0,,Hellejakso,28.0,,,,,,
Etelä-Suomi,2025-07-12,21.0,,Hellejakso,31.5,,,,,,
Etelä-Suomi,2025-08-03,3.0,,Hellejakso,29.3,,,,,,
Etelä-Suomi,2022-03-29,5.0,-3.548611111111111,Takatalvi,,2022.0,,,,,
Etelä-Suomi,2023-03-26,10.0,-5.320833333333334,Takatalvi,,2023.0,,,,,
Etelä-Suomi,2024-04-03,4.0,-3.1575342465753424,Takatalvi,,2024.0,,,,,
Etelä-Suomi,2024-04-19,5.0,-2.3835616438356166,Takatalvi,,2024.0,,,,,
Etelä-Suomi,2025-03-11,4.0,-2.7845070422535207,Takatalvi,,2025.0,,,,,
Keski-Suomi,2022-01-08,4.0,-31.7,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2022-02-04,1.0,-27.2,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2022-02-23,1.0,-26.0,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2022-03-29,1.0,-25.4,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2023-01-07,1.0,-28.7,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2023-02-21,3.0,-30.5,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2023-02-26,1.0,-25.2,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2023-03-07,3.0,-29.4,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2023-03-26,1.0,-28.4,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2023-11-25,3.0,-31.0,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2023-12-09,1.0,-25.5,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2023-12-31,8.0,-39.0,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2024-01-12,2.0,-31.2,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2024-01-15,7.0,-35.6,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2024-02-06,9.0,-35.2,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2024-12-17,3.0,-28.5,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2025-01-05,2.0,-29.0,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2025-01-12,1.0,-25.4,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2025-02-04,1.0,-28.3,Äärimmäinen kylmyys,,,,,,,
Keski-Suomi,2023-12-31,8.0,-29.322033898305083,Ankara pakkasjakso,,,,,,,
Keski-Suomi,2024-01-15,3.0,-20.501694915254237,Ankara pakkasjakso,,,,,,,
Keski-Suomi,2024-02-07,7.0,-22.854237288135593,Ankara pakkasjakso,,,,,,,
Keski-Suomi,2022-06-24,12.0,,Hellejakso,31.9,,,,,,
Keski-Suomi,2022-07-21,3.0,,Hellejakso,30.5,,,,,,
Keski-Suomi,2022-08-04,3.0,,Hellejakso,29.0,,,,,,
Keski-Suomi,2022-08-11,11.0,,Hellejakso,31.0,,,,,,
Keski-Suomi,2023-06-13,10.0,,Hellejakso,31.6,,,,,,
